keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Paraguay',0.29319536089618903,0.7781548265642902,0.283777268953747,1.0772812407981571,3.0
'Paris',0.2638604126552374,1.086135783004735,1.4858942092986465,2.3423267212130687,5.0
'Peking',0.734393182549186,0.5736698262369989,-0.21391034298485878,0.46593230731248425,3.0
'Philippinen',-0.4065739207449998,0.6919616679838091,-0.384468979411687,0.036360997592885975,2.0
'Pjöngjang',0.8169756166887682,0.7992434521486363,0.047089593714781074,1.0239885893035594,5.0
'Plymouth',-0.010857547845525645,0.9552388685029093,-0.17247339173310594,0.6411776698768266,8.0
'Polen',0.26423209461065006,0.9719336758225046,-0.3251968380881246,0.24667495723222227,8.0
'Portugal',0.02184977060531833,0.0,0.444129321122845,1.349587438298343,2.0
'Prag',0.32085396521464954,0.621063214555923,-0.28960365978619984,0.38771963216563576,11.0
'Rom',0.281381023023107,0.44708722664716655,-0.2711546037690633,0.23967712097174163,3.0
'Rumänien',-0.42798744748493034,1.0,-0.3488081628019505,1.0,1.0
'Russland',-0.23446397251314519,1.046221372612093,-0.04598711347103604,0.9726068909263967,339.0
'Sachsen-Anhalt',-0.11238592588871706,1.4516867160461617,1.4934157861333743,3.2915019762668347,3.0
'Saudi-Arabien',0.44768140408347723,0.5663225845741025,-0.4347926498811635,0.028161644765394084,2.0
'Schweden',0.28618299253460344,0.33221103848241124,0.03382142527857146,0.6291799167895054,2.0
'Schweiz',0.25201358332125007,1.0220623811038425,0.21003996510725464,0.8658469884402581,18.0
'Senegal',-0.06568724290577528,1.0,-0.4101800873803244,1.0,1.0
'Sofia',-1.5688185600384856,1.0,-0.5101731083020946,1.0,1.0
'Spanien',0.19701786219308617,1.0458528930171715,0.5249091173095456,1.57573618939571,27.0
'St. Petersburg',0.27741251450888454,0.7660370461512326,-0.4110759604696755,0.0,6.0
'Sudan',0.0375379290918264,1.0,-0.42032312741740907,1.0,1.0
'Syrien',-0.08490563690931352,1.435992255816699,-0.44825603837024636,0.05398148069659346,3.0
'Südafrika',-2.1584382361193297,3.0833928689893995,-0.3792861190250581,0.18510215537376687,2.0
'Südkorea',-0.3791659078327851,0.789842366736038,0.4525855535718429,1.0270412044244572,6.0
'Taiwan',0.9949524770690457,1.0,-0.4547059398641403,1.0,1.0
'Tallinn',-0.5460718744260646,1.0,-0.4110759604696755,1.0,1.0
'Teheran',-0.7422397221266512,0.972727338486815,0.26752539789909524,1.0887197722018724,4.0
'Tel Aviv',1.2760927132739452,0.3477894988484134,-0.4107773361065585,0.000517232569296564,3.0
'Thailand',-1.6127614973987972,1.0,2.1820780367538224,1.0,1.0
'Tokio',-0.0016107951398461606,0.5189756161873585,0.7710880914791403,1.4454960975414404,4.0
'Tschechien',-0.8878153973246524,1.0,-0.2713259819138935,1.0,1.0
'Tunesien',0.0827168670075059,1.0,-0.3587578714430496,1.0,1.0
'Türkei',-0.11530391712173402,0.7066005180740234,-0.17622571840274623,1.0388489115074468,14.0
'USA',-0.03604315851640652,0.9957628141285203,-0.003123651976501942,0.8773509201585429,105.0
'Ukraine',0.055198858298372545,0.9659494198642169,-0.029467722753009046,0.9665398894171181,186.0
'Ungarn',-0.11098151677281898,0.7314099439575421,-0.4007554553187612,0.044029447594998786,5.0
'Venezuela',0.8403506375632691,1.055570365134857,-0.3684214367939959,0.05944268474337359,3.0
